city,state,pricesept2021,violentcrime2019,logPrice,logCrime
Anchorage, AK,1090,3.581,6.99393298,1.27564209
Chandler, AZ,1450,0.593,7.27931884,-0.5225609
Gilbert, AZ,1660,0.245,7.41457288,-1.4064971
Glendale, AZ,1130,0.863,7.02997291,-0.1473406
Mesa, AZ,1160,1.953,7.05617528,0.66936665
Phoenix, AZ,1260,11.803,7.138867,2.46835374
Scottsdale, AZ,1850,0.415,7.52294092,-0.8794768
Tucson, AZ,840,3.775,6.73340189,1.32840038
Anaheim, CA,1820,1.12,7.50659178,0.11332869
Bakersfield, CA,950,1.766,6.85646198,0.5687171
Fresno, CA,1160,0.243,7.05617528,-1.4146938
Long Beach, CA,1630,2.369,7.39633529,0.86246793
Los Angeles, CA,2100,29.4,7.64969262,3.38099467
Oakland, CA,2000,5.52,7.60090246,1.70837786
Sacramento, CA,1430,3.223,7.26542972,1.1703126
San Diego, CA,2100,5.215,7.64969262,1.65153909
San Francisco, CA,2800,5.933,7.9373747,1.78052999
San Jose, CA,2200,4.559,7.69621264,1.5171033
Santa Ana, CA,1810,1.453,7.50108212,0.37363038
Aurora, CO,1200,2.799,7.09007684,1.02926221
Colorado Springs, CO,1090,2.806,6.99393298,1.03175998
Denver, CO,1610,5.459,7.38398946,1.69726562
Washington, DC,2210,6.896,7.70074779,1.93094153
Fort Lauderdale, FL,1740,1.098,7.46164039,0.09349034
Jacksonville, FL,1050,5.886,6.95654544,1.77257665
Miami, FL,1970,2.85,7.58578882,1.04731899
Orlando, FL,1400,2.157,7.24422752,0.76871837
St Petersburg, FL,1470,1.594,7.29301768,0.46624658
Tallahassee, FL,810,1.359,6.69703425,0.30674914
Tampa, FL,1410,1.622,7.25134498,0.48365996
Atlanta, GA,1640,0.262,7.40245152,-1.3394108
Augusta, GA,870,0.656,6.76849321,-0.4215945
Honolulu, HI,1530,2.638,7.33302301,0.97002105
Des Moines, IA,980,1.555,6.88755257,0.44147555
Boise, ID,1380,0.649,7.22983878,-0.4323226
Chicago, IL,1440,25.532,7.27239839,3.23993257
Indianapolis, IN,940,7.755,6.84587988,2.0483378
Wichita, KS,600,4.451,6.39692966,1.49312879
Lexington, KY,800,0.967,6.68461173,-0.0335568
Louisville, KY,910,4.64,6.8134446,1.53471437
Baton Rouge, LA,850,2.066,6.74523635,0.72561437